
Entity Pair                                    Co-occurrences
--------------------------------------------------------------
hermione /// rony                                          68
hermione /// neville                                       13
neville /// rony                                           11
draco /// rony                                             11
duda /// tia petúnia                                       10
duda /// válter                                            10
duda /// pedro                                             10
hagrid /// rony                                            10
fred /// jorge                                              9
crabbe /// goyle                                            9
rony /// snape                                              9
draco /// goyle                                             9
hagrid /// hermione                                         9
draco /// neville                                           8
hermione /// snape                                          7
crabbe /// draco                                            7
malfoy /// neville                                          7
fred /// jorge weasley                                      6
quirrell /// snape                                          6
dumbledore /// hagrid                                       5
tia petúnia /// válter                                      5
goyle /// rony                                              5
hagrid /// snape                                            5
draco /// snape                                             5
dumbledore /// minerva                                      4
flamel /// rony                                             4
malfoy /// rony                                             4
canino /// malfoy                                           4
snape /// voldemort                                         4
duda /// dursley                                            3
rony /// voldemort                                          3
dumbledore /// nicolau flamel                               3
hermione granger /// neville                                3
acho /// rony                                               3
neville /// simas                                           3
madame hooch /// neville                                    3
draco /// hermione                                          3
hagrid /// neville                                          3
hermione /// malfoy                                         3
harry /// hermione                                          3
canino /// neville                                          3
quirrell /// voldemort                                      3
duda /// sr. dursley                                        2
lílian /// tiago potter                                     2
dursley /// pedro                                           2
duda /// tio válter                                         2
dursley /// válter                                          2
tia petúnia /// tio válter                                  2
duda /// petúnia                                            2
gringotes /// hagrid                                        2
hagrid /// tom                                              2
hagrid /// madame malkin                                    2
monitor /// percy                                           2
goyle /// perebas                                           2
perebas /// rony                                            2
flitwick /// snape                                          2
minerva /// snape                                           2
goyle /// malfoy                                            2
crabbe /// malfoy                                           2
carlinhos /// rony                                          2
gringotes /// rony                                          2
dino /// rony                                               2
minerva /// wood                                            2
hermione /// parvati                                        2
minerva /// rony                                            2
lino jordan /// weasley                                     2
harry /// rony                                              2
neville /// snape                                           2
dumbledore /// snape                                        2
crabbe /// rony                                             2
goyle /// neville                                           2
fofo /// quirrell                                           2
herbologia /// rony                                         2
herbologia /// hermione                                     2
canino /// hagrid                                           2
hagrid /// malfoy                                           2
canino /// hermione                                         2
dumbledore /// rony                                         2
dumbledore /// edwiges                                      2
duda /// dudley                                             1
eduardo /// “                                               1
hum /// pigarreou                                           1
imaginei /// profa                                          1
lílian /// tiago...                                         1
dumbledore /// francamente                                  1
casa dos dursley /// dumbledore                             1
hagrid /// psiu                                             1
minerva /// professor dumbledore                            1
enxugando /// hagrid                                        1
seu patinhas /// tobias                                     1
néris /// seu patinhas                                      1
néris /// tobias                                            1
duda /// pedro polkiss                                      1
pedro polkiss /// tia petúnia                               1
duda /// meia                                               1
meia /// pedro                                              1
dursley /// meia                                            1
pedro /// tio válter                                        1
cartola /// duda                                            1
duda /// górdon                                             1
duda /// dênis                                              1
dênis /// górdon                                            1
górdon /// pedro                                            1
dênis /// pedro                                             1
apanhe /// válter                                           1
apanhe /// duda                                             1
cutuque /// duda                                            1
railview /// válter                                         1
railview /// sr. h. potter quarto                           1
sr. h. potter quarto /// válter                             1
guardião das chaves /// rúbeo hagrid                        1
hagrid /// válter dursley                                   1
prezado sr. potter,
temos /// v. sa                         1
entreguei /// sr. dumbledore                                1
hagrid /// válter                                           1
hagrid /// petúnia                                          1
duda /// hagrid                                             1
dê /// hagrid                                               1
hagrid /// voando                                           1
cornélio fudge /// dumbledore                               1
dóris crockford /// sr. potter                              1
c-c-conhecê-lo /// quirrell                                 1
hein /// potter                                             1
acho /// dursley                                            1
hum /// sr. olivaras                                        1
olivaras /// sr. potter                                     1
freguês /// hein                                            1
hagrid /// sr. olivaras                                     1
pagou /// sr. olivaras                                      1
hagrid /// paddington                                       1
quirrell /// sr. olivaras                                   1
dursley /// edwiges                                         1
